아파 ,97 ,192
나바 ,96 ,156
마바 ,65 ,149
라나 ,69 ,157
바사 ,50 ,192
타가 ,77 ,161
파라 ,83 ,164
파카 ,47 ,143
라바 ,87 ,158
카마 ,82 ,179
사타 ,43 ,183
바파 ,69 ,163
파가 ,65 ,198
마다 ,95 ,189
파하 ,61 ,196
차바 ,88 ,199
다차 ,44 ,187
타라 ,43 ,166
카가 ,53 ,191
라카 ,69 ,158
자하 ,46 ,188
차다 ,67 ,182
라다 ,88 ,140
아타 ,96 ,144
타하 ,94 ,183
자하 ,47 ,191
가차 ,68 ,191
자다 ,95 ,162
자파 ,61 ,166
마바 ,76 ,148
하카 ,81 ,196
마라 ,95 ,167
나다 ,87 ,182
사차 ,87 ,194
라카 ,62 ,167
바타 ,74 ,175
자파 ,44 ,160
다자 ,54 ,166
바파 ,56 ,188
사파 ,43 ,187
자사 ,88 ,143
자라 ,95 ,187
카다 ,41 ,178
카라 ,57 ,145
나마 ,40 ,151
사하 ,82 ,195
아라 ,77 ,144
라다 ,44 ,194
바사 ,63 ,141
파마 ,95 ,178
마하 ,56 ,152
사타 ,73 ,158
라가 ,58 ,161
하카 ,89 ,185
가바 ,99 ,172
자타 ,67 ,152
자하 ,64 ,187
아차 ,64 ,176
사바 ,92 ,197
가나 ,87 ,188
나나 ,50 ,193
자아 ,52 ,142
가파 ,81 ,167
마가 ,70 ,182
다가 ,79 ,198
바파 ,41 ,161
다자 ,60 ,184
사사 ,81 ,158
아파 ,61 ,193
마가 ,98 ,153
가다 ,82 ,149
사카 ,65 ,144
나아 ,98 ,190
사나 ,85 ,140
하파 ,54 ,172
차라 ,48 ,158
사파 ,64 ,181
하자 ,81 ,144
파카 ,64 ,156
자나 ,66 ,146
파다 ,77 ,175
자바 ,66 ,189
자자 ,88 ,161
자하 ,91 ,140
차아 ,94 ,175
자다 ,73 ,163
사바 ,72 ,188
사하 ,82 ,151
아다 ,40 ,141
차나 ,81 ,150
타사 ,91 ,193
차자 ,94 ,158
아나 ,68 ,198
다마 ,77 ,170
